id,sin,cobertura,fec_ocu,causa,ent_mun,tipo_perd,monto_ded,monto_ocu
135701,701704,1,20231027,6,24028,2,0,0
17705,639186,1,20221109,6,24028,2,0,55045
160468,709338,1,20231217,6,24028,2,0,113810
103948,629548,1,20220919,6,24028,2,0,0
3635,597697,1,20220326,6,24028,2,0,71300
21141,620597,2,20220731,16,24028,2,0,97660
275754,727927,1,20240409,6,24028,2,0,183160
69007,674067,1,20230101,6,24028,2,0,486000
149904,675373,2,20230519,16,24028,2,0,208619.02
125274,688678,1,20230101,6,24028,2,0,250800
1976,636816,1,20221028,6,24028,2,0,186200
277198,764540,1,20241027,6,24028,2,0,154900
104161,690825,2,20230101,16,24028,2,0,296100
15726,644411,1,20221204,6,24028,2,0,-74804
126299,647154,1,20221215,6,24028,3,0,12000
125522,647553,1,20221219,6,24028,3,0,0
50432,647242,1,20221217,6,24028,3,0,70000
20411,600736,2,20220406,6,24028,3,0,0
125288,646635,1,20221214,6,24028,3,0,0
104023,646798,1,20221214,6,24028,3,0,7800
50301,623639,1,20220820,6,24028,3,0,15000
10050,612643,1,20220618,6,24028,3,0,0
163742,696438,1,20230922,7,24028,4,476,2797.46
261124,744827,1,20240709,7,24028,4,3806.79,15227.17
86316,645341,1,20221208,7,24028,4,0,0
247007,757295,1,20240917,7,24028,4,0,2786.43
234494,717553,1,20240111,7,24028,4,924,4196.06
151947,674564,1,20230517,7,24028,4,0,1680
307650,756067,1,20240903,7,24028,4,0,3222.4
36971,647425,1,20221219,7,24028,4,0,0
141201,656796,1,20230101,7,24028,4,0,5872
65536,672508,1,20230101,7,24028,4,0,1834.44
239313,764122,1,20241010,7,24028,4,0,3200
185971,713966,1,20240118,7,24028,4,0,0
53979,651759,1,20230101,7,24028,4,0,4033.58
55981,665850,1,20230101,7,24028,4,0,2591.2
103458,676279,1,20230101,7,24028,4,0,3200
112477,676827,1,20230101,7,24028,4,0,964.8
263377,758572,1,20240924,7,24028,4,0,6743.22
265814,738678,1,20240605,7,24028,4,0,3200
65654,651148,1,20230101,7,24028,4,0,936
123078,671638,1,20230101,7,24028,4,447.06,1479.94
227707,761504,1,20241009,7,24028,4,0,4723.37
71713,635080,1,20221020,7,24028,4,0,0
341408,764216,1,20241023,7,24028,4,0,5097.6
280925,756126,1,20240910,7,24028,4,0,3600
